HYPONYM;HYPERNYM;SNIPPET
МУЗЕЕВЕДЕНИЕ;музеоло?гия;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕЕВЕДЕНИЕ;научная дисциплина;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕЕВЕДЕНИЕ;музей;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕЕВЕДЕНИЕ;музейное дело;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕЕВЕДЕНИЕ;музейная теория;Под музееведением обычно понимается «наука о музейном деле», «наука о музеях» или более узко – «музейная теория». Такое описание фиксирует лишь лежащую на поверхности связь между научной дисциплиной и одним из ее объектов – музеем как учреждением. 
МУЗЕОЛОГИЯ;музееведение;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕОЛОГИЯ;научная дисциплина;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕОЛОГИЯ;музей;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕОЛОГИЯ;музейное дело;Музееве?дение, или музеоло?гия, — научная дисциплина, появившаяся в конце XIX века и изучающая историю музеев, их общественные функции, теорию и методику музейного дела.
МУЗЕОЛОГИЯ;музейная теория;Под музееведением или музеологией обычно понимается «наука о музейном деле», «наука о музеях» или более узко – «музейная теория». Такое описание фиксирует лишь лежащую на поверхности связь между научной дисциплиной и одним из ее объектов – музеем 
МУКОВИСЦИДОЗ;кистозный фиброз;Муковисцид?з (кистозный фиброз) — системное наследственное заболевание, обусловленное мутацией гена трансмембранного регулятора муковисцидоза и характеризующееся поражением желёз внешней секреции, тяжёлыми нарушениями функций органов дыхания. 
МУКОВИСЦИДОЗ;заболевание;Муковисцид?з (кистозный фиброз) — системное наследственное заболевание, обусловленное мутацией гена трансмембранного регулятора муковисцидоза и характеризующееся поражением желёз внешней секреции, тяжёлыми нарушениями функций органов дыхания. 
МУКОВИСЦИДОЗ;наследственное заболевание;Муковисцид?з (кистозный фиброз) — системное наследственное заболевание, обусловленное мутацией гена трансмембранного регулятора муковисцидоза и характеризующееся поражением желёз внешней секреции, тяжёлыми нарушениями функций органов дыхания. 
МУКОВИСЦИДОЗ;мутация;Муковисцид?з (кистозный фиброз) — системное наследственное заболевание, обусловленное мутацией гена трансмембранного регулятора муковисцидоза и характеризующееся поражением желёз внешней секреции, тяжёлыми нарушениями функций органов дыхания. 
МУКОВИСЦИДОЗ;мутация гена;Муковисцид?з (кистозный фиброз) — системное наследственное заболевание, обусловленное мутацией гена трансмембранного регулятора муковисцидоза и характеризующееся поражением желёз внешней секреции, тяжёлыми нарушениями функций органов дыхания. 
МУКОМОЛ;зерно;МУКОМО?Л, -а, м. Тот, кто занимается размолом, переработкой зерна в муку.
МУКОМОЛ;мука;МУКОМО?Л, -а, м. Тот, кто занимается размолом, переработкой зерна в муку.
МУКОМОЛ;переработка зерна;МУКОМО?Л, -а, м. Тот, кто занимается размолом, переработкой зерна в муку.
МУКОМОЛ;человек;МУКОМО'Л, а, м. (спец.). Человек, профессионально занимающийся размолом зерна, превращением его в муку
МУКОМОЛ;профессия;МУКОМО'Л, а, м. (спец.). Человек, профессионально занимающийся размолом зерна, превращением его в муку
МУКСУН;рыба;Муксу?н[1] (лат. Coregonus muksun) — пресноводная рыба из рода сигов подсемейства сиговые семейства лососёвые.
МУКСУН;подсемейство сиговых;Муксу?н[1] (лат. Coregonus muksun) — пресноводная рыба из рода сигов подсемейства сиговые семейства лососёвые.
МУКСУН;семейство лососёвые;Муксу?н[1] (лат. Coregonus muksun) — пресноводная рыба из рода сигов подсемейства сиговые семейства лососёвые.
МУКСУН;полупроходные рыбы;Муксун относится к полупроходным рыбам, а, следовательно, совершает миграции для нереста. Этот полупроходной сиг, нагуливается в опресненных прибрежных водах Ледовитого океана, откуда идет на нерест в Кару, Обь, Енисей, Лену и Колыму, поднимаясь, достаточно, высоко вверх по течению. 
МУКСУН;пресноводная рыба;Муксу?н[1] (лат. Coregonus muksun) — пресноводная рыба из рода сигов подсемейства сиговые семейства лососёвые.
МУЛЬТИВАРКА;кухня;Мультиварка — многофункциональный бытовой или профессиональный кухонный электроприбор с программным управлением, предназначенный для приготовления блюд в автоматическом или полуавтоматическом режиме[1]. Выпускается и продаётся с начала XXI века, является прямым потомком электрической рисоварки, изобретённой во второй половине XX века в Японии и широко применяющейся в странах Юго-Восточной Азии, где варёный рис является традиционным ежедневным продуктом питания.
МУЛЬТИВАРКА;рисоварка;Мультиварка — многофункциональный бытовой или профессиональный кухонный электроприбор с программным управлением, предназначенный для приготовления блюд в автоматическом или полуавтоматическом режиме[1]. Выпускается и продаётся с начала XXI века, является прямым потомком электрической рисоварки, изобретённой во второй половине XX века в Японии и широко применяющейся в странах Юго-Восточной Азии, где варёный рис является традиционным ежедневным продуктом питания.
МУЛЬТИВАРКА;кухонный электроприбор;Мультиварка — многофункциональный бытовой или профессиональный кухонный электроприбор с программным управлением, предназначенный для приготовления блюд в автоматическом или полуавтоматическом режиме[1]. Выпускается и продаётся с начала XXI века, является прямым потомком электрической рисоварки, изобретённой во второй половине XX века в Японии и широко применяющейся в странах Юго-Восточной Азии, где варёный рис является традиционным ежедневным продуктом питания.
МУЛЬТИВАРКА;бытовая техника;Мультиварка — многофункциональный бытовой или профессиональный кухонный электроприбор с программным управлением, предназначенный для приготовления блюд в автоматическом или полуавтоматическом режиме[1]. Выпускается и продаётся с начала XXI века, является прямым потомком электрической рисоварки, изобретённой во второй половине XX века в Японии и широко применяющейся в странах Юго-Восточной Азии, где варёный рис является традиционным ежедневным продуктом питания.
МУЛЬТИВАРКА;приготовление блюда;Мультиварка — многофункциональный бытовой или профессиональный кухонный электроприбор с программным управлением, предназначенный для приготовления блюд в автоматическом или полуавтоматическом режиме[1]. Выпускается и продаётся с начала XXI века, является прямым потомком электрической рисоварки, изобретённой во второй половине XX века в Японии и широко применяющейся в странах Юго-Восточной Азии, где варёный рис является традиционным ежедневным продуктом питания.
МУЛЬТИКУЛЬТУРАЛИЗМ;политика;Мультикультурали?зм — политика, направленная на сохранение и развитие в отдельно взятой стране и в мире в целом культурных различий, и обосновывающая такую политику теория или идеология.
МУЛЬТИКУЛЬТУРАЛИЗМ;идеология;Мультикультурали?зм — политика, направленная на сохранение и развитие в отдельно взятой стране и в мире в целом культурных различий, и обосновывающая такую политику теория или идеология.
МУЛЬТИКУЛЬТУРАЛИЗМ;культура;Мультикультурализм — один из аспектов толерантности, заключающийся в требовании параллельного существования культур в целях их взаимного проникновения, обогащения и развития в общечеловеческом русле массовой культуры
МУЛЬТИКУЛЬТУРАЛИЗМ;культурные различия;Мультикультурали?зм — политика, направленная на сохранение и развитие в отдельно взятой стране и в мире в целом культурных различий, и обосновывающая такую политику теория или идеология.
МУЛЬТИКУЛЬТУРАЛИЗМ;толерантность;Мультикультурализм — один из аспектов толерантности, заключающийся в требовании параллельного существования культур в целях их взаимного проникновения, обогащения и развития в общечеловеческом русле массовой культуры
МУЛЬТИМЕТР;прибор для измерений;Мультиметр – это универсальный прибор для измерений. Измерений напряжения, тока, сопротивления, а так же проверки провода на обрыв.
МУЛЬТИМЕТР;те?стер;Мультиме?тр (от англ. multimeter), те?стер (от англ. test — испытание), аво?метр (от ампервольтомметр) — комбинированный электроизмерительный прибор, объединяющий в себе несколько функций.
МУЛЬТИМЕТР;аво?метр;Мультиме?тр (от англ. multimeter), те?стер (от англ. test — испытание), аво?метр (от ампервольтомметр) — комбинированный электроизмерительный прибор, объединяющий в себе несколько функций.
МУЛЬТИМЕТР;электроизмерительный прибор;Мультиме?тр (от англ. multimeter), те?стер (от англ. test — испытание), аво?метр (от ампервольтомметр) — комбинированный электроизмерительный прибор, объединяющий в себе несколько функций.
МУЛЬТИМЕТР;вольтметр;В минимальном наборе включает функции вольтметра, амперметра и омметра. Иногда выполняется мультиметр в виде токоизмерительных клещей. Существуют цифровые и аналоговые мультиметры.
МУЛЬЧИРОВАНИЕ;мульча;Мульчирование — поверхностное покрытие почвы му?льчей (англ. mulch) для её защиты и улучшения свойств. 
МУЛЬЧИРОВАНИЕ;покрытие;Мульчирование — поверхностное покрытие почвы му?льчей (англ. mulch) для её защиты и улучшения свойств. 
МУЛЬЧИРОВАНИЕ;агротехника;Мульчирование как агротехнический приём получило широкое распространение во многих западноевропейских странах, США и Канаде. 
МУЛЬЧИРОВАНИЕ;земледелие;Мульчирование почвы – простая и весьма эффективная технология успешного земледелия.
МУЛЬЧИРОВАНИЕ;почва;Мульчирование — поверхностное покрытие почвы му?льчей (англ. mulch) для её защиты и улучшения свойств. 
МУРАВЬЕД;Муравье?довые;Муравьед, Муравье?довые (лат. Myrmecophagidae) — семейство млекопитающих отряда неполнозубых.
МУРАВЬЕД;семейство млекопитающих;Муравьед, Муравье?довые (лат. Myrmecophagidae) — семейство млекопитающих отряда неполнозубых.
МУРАВЬЕД;отряд неполнозубых;Муравьед, Муравье?довые (лат. Myrmecophagidae) — семейство млекопитающих отряда неполнозубых.
МУРАВЬЕД;животное;Одно из самых удивительных и хорошо известное всем любителям флоры животных – муравьед. 
МУРАВЬЕД;муравьи;Основную пищу муравьедов составляют муравьи, собственно, из-за этого они и получили своё название. 
МУРЕНА;рыба;Мурены — крупные змеевидные рыбы, известные своей ядовитостью и агрессивным характером.
МУРЕНА;род лучепёрых рыб;Муре?ны (лат. Muraena) — род лучепёрых рыб из семейства муреновых (Muraenidae).
МУРЕНА;семейство муреновых;Муре?ны (лат. Muraena) — род лучепёрых рыб из семейства муреновых (Muraenidae).
МУРЕНА;змеевидная рыба;Мурены — крупные змеевидные рыбы, известные своей ядовитостью и агрессивным характером.
МУРЕНА;животное;Мурены — это ночные животные. Днем сидят в расщелинах скал и кораллов, а ночью начинается охота. Жертвами мурены становятся более мелкие рыбы, крабы, головоногие малюски, а также осьминоги.
МУХОЛОВКА;многоножка;Обыкновенная мухоловка[2] (лат. Scutigera coleoptrata) — многоножка из отряда Scutigeromorpha класса губоногих.
МУХОЛОВКА;класс губоногих;Обыкновенная мухоловка[2] (лат. Scutigera coleoptrata) — многоножка из отряда Scutigeromorpha класса губоногих.
МУХОЛОВКА;членистоногие;Кто такая мухоловка и чем она полезна? Это маленькое членистоногое, поселившись у вас дома, успешно скушает более мелких собратьев, вроде тараканов и уховерток. 
МУХОЛОВКА;насекомое;В разных источниках мухоловка (Scutigera coleoptrata) иногда называется насекомым.
МУХОЛОВКА;Домашняя сколопендра;Домашняя сколопендра - полезное животное. Не всем нравится её вид, но людям вообще не угодишь. Некоторые не боятся собак, но боятся мышей.
МУШКЕТ;оружие;Мушке?т (от фр. mousquet, более вероятно — от нем. muskete) — вид старинного ручного огнестрельного оружия. Конкретный смысл этого термина может меняться в зависимости от исторического периода и особенностей национальной терминологии.
МУШКЕТ;огнестрельное оружие;Мушке?т (от фр. mousquet, более вероятно — от нем. muskete) — вид старинного ручного огнестрельного оружия. Конкретный смысл этого термина может меняться в зависимости от исторического периода и особенностей национальной терминологии.
МУШКЕТ;старинное оружие;Мушке?т (от фр. mousquet, более вероятно — от нем. muskete) — вид старинного ручного огнестрельного оружия. Конкретный смысл этого термина может меняться в зависимости от исторического периода и особенностей национальной терминологии.
МУШКЕТ;ружье крупного калибра;МУШКЕ?Т, -а, м. Старинное фитильное ружье крупного калибра, стреляющее с особой подставки. Надрывно грохнули пушки, затрещали мушкеты, все закрылось клубами белого дыма. А. Н. Толстой, Петр Первый.
МУШКЕТ;ружье;МУШКЕ?Т, -а, м. Старинное фитильное ружье крупного калибра, стреляющее с особой подставки. Надрывно грохнули пушки, затрещали мушкеты, все закрылось клубами белого дыма. А. Н. Толстой, Петр Первый.
МУЭДЗИН;служитель мечети;Муэдзи?н (араб. ?????, произн. как «муаз?з?ин»), муаззин, муэззи?], азанчи?, муна?ди, биля?л — в исламе служитель мечети, призывающий мусульман на обязательную молитву (намаз).
МУЭДЗИН;ислам;Аза?н (араб. ????? — объявление, приглашение?) — в исламе: призыв к обязательной молитве, а читающий азан — муэдзин (тюрк. — азанчи). 
МУЭДЗИН;азан;Аза?н (араб. ????? — объявление, приглашение?) — в исламе: призыв к обязательной молитве, а читающий азан — муэдзин (тюрк. — азанчи). 
МУЭДЗИН;молитва;Муэдзи?н (араб. ?????, произн. как «муаз?з?ин»), муаззин, муэззи?], азанчи?, муна?ди, биля?л — в исламе служитель мечети, призывающий мусульман на обязательную молитву (намаз).
МУЭДЗИН;мусульманский глашатай;"Муэдзин - от араб. ""му'аззин"" - ""объявляющий""), мусульманский глашатай, который пять раз в день призывает верующих на молитву."
МЫЛОВАРЕНИЕ;мыло;Мыловарение – изготовление эксклюзивного мыла своими руками. 
МЫЛОВАРЕНИЕ;занятие;Мыловарение – это увлекательное занятие, которое помогает проявить креативность, отвлечься от бытовых проблем, получить удовольствие от самого процесса и, конечно же, создать ароматное и необычной красоты мыло, которое станет оригинальным и очень полезным подарком.
МЫЛОВАРЕНИЕ;процесс создания мыла;"Мыловарение – Процесс создания мыла своими руками. Различают три способа мыловарения: 1) мыло переваривается из обычного туалетного (чаще, детского) с примешиванием добавок, отдушек, красителей, эфирных масел; 2) мыло делается из специальной мыльной основы с примешиванием добавок; 3) мыло варится из щелочи и жиров, в пропорциях, рассчитанных по Мыльному калькулятору (Нулёвка, Мыло с нуля)."
МЫЛОВАРЕНИЕ;хобби;Мыловарение как бизнес. И снова доброго времени суток, мои дорогие мыловары и любопытствующие в этом увлекательном хобби. 
МЫЛОВАРЕНИЕ;искусство;Мыловарение как искусство
МЯТЛИК;злак;"Мя?тлик лугово?й (лат. Poa prat?nsis) — многолетнее растение; вид рода Мятлик (Poa) семейства Злаки (Poaceae); кормовая трава, один из самых ранних злаков."
МЯТЛИК;растение;"Мя?тлик лугово?й (лат. Poa prat?nsis) — многолетнее растение; вид рода Мятлик (Poa) семейства Злаки (Poaceae); кормовая трава, один из самых ранних злаков."
МЯТЛИК;семейство Злаки;Мя?тлик (лат. Poa, от др.-греч. ??? «трава») — крупный род многолетних, реже однолетних травянистых растений семейства Злаки (Gramineae).
МЯТЛИК;трава;"Мя?тлик лугово?й (лат. Poa prat?nsis) — многолетнее растение; вид рода Мятлик (Poa) семейства Злаки (Poaceae); кормовая трава, один из самых ранних злаков."
МЯТЛИК;газон;Мятлик луговой - отличное растения для декоративных газонов. Имеет ярко-зеленый цвет, кустится и образует достаточно плотный слой дернины. Мятлик является высокодекоративной культурой в газонной смеси. Создает красивый ровный зеленый ковер.
МЯУКАНЬЕ;звук;Общаясь со своими сородичами, с владельцами, с другими животными, кошка передает информацию, используя десятки разных звуков, которые отличаются по силе, тембру и тону.Например, мурлыканье и урчание издаются при закрытой пасти. Вопреки расхожему мнению, урчание не всегда означает, что кошка довольна. Она также может урчать, когда чувствует боль, во время родов или если ей угрожает опасность.Если же кошке важно донести информацию как можно скорее, она мяукает, используя гласные звуки, открывая и закрывая пасть. 
МЯУКАНЬЕ;способ передачи информации;Общаясь со своими сородичами, с владельцами, с другими животными, кошка передает информацию, используя десятки разных звуков, которые отличаются по силе, тембру и тону.Например, мурлыканье и урчание издаются при закрытой пасти. Вопреки расхожему мнению, урчание не всегда означает, что кошка довольна. Она также может урчать, когда чувствует боль, во время родов или если ей угрожает опасность.Если же кошке важно донести информацию как можно скорее, она мяукает, используя гласные звуки, открывая и закрывая пасть. 
МЯУКАНЬЕ;кошка;Общаясь со своими сородичами, с владельцами, с другими животными, кошка передает информацию, используя десятки разных звуков, которые отличаются по силе, тембру и тону.Например, мурлыканье и урчание издаются при закрытой пасти. Вопреки расхожему мнению, урчание не всегда означает, что кошка довольна. Она также может урчать, когда чувствует боль, во время родов или если ей угрожает опасность.Если же кошке важно донести информацию как можно скорее, она мяукает, используя гласные звуки, открывая и закрывая пасть. 
МЯУКАНЬЕ;звук кошек;Общаясь со своими сородичами, с владельцами, с другими животными, кошка передает информацию, используя десятки разных звуков, которые отличаются по силе, тембру и тону.Например, мурлыканье и урчание издаются при закрытой пасти. Вопреки расхожему мнению, урчание не всегда означает, что кошка довольна. Она также может урчать, когда чувствует боль, во время родов или если ей угрожает опасность.Если же кошке важно донести информацию как можно скорее, она мяукает, используя гласные звуки, открывая и закрывая пасть. 
МЯУКАНЬЕ;мурлыкание;Общаясь со своими сородичами, с владельцами, с другими животными, кошка передает информацию, используя десятки разных звуков, которые отличаются по силе, тембру и тону.Например, мурлыканье и урчание издаются при закрытой пасти. Вопреки расхожему мнению, урчание не всегда означает, что кошка довольна. Она также может урчать, когда чувствует боль, во время родов или если ей угрожает опасность.Если же кошке важно донести информацию как можно скорее, она мяукает, используя гласные звуки, открывая и закрывая пасть. 
НАГАЙКА;средство управления лошадью;Нага?йка[1] или ногайка[2] — средство управления лошадью, представляющее собой короткую, толстую, круглую, ременную плеть,сплетённую из нескольких ремешков и постепенно сужающуюся к концу в большинстве случаев. 
НАГАЙКА;плеть;Нага?йка[1] или ногайка[2] — средство управления лошадью, представляющее собой короткую, толстую, круглую, ременную плеть,сплетённую из нескольких ремешков и постепенно сужающуюся к концу в большинстве случаев. 
НАГАЙКА;казаки;Нагайки использовалась казаками для разгона демонстрантов, а также для осуществления порки в качестве меры наказания[4][5][6].
НАГАЙКА;оружие казака;Нагайка — оружие казака. На разгон беспорядков и усмирение масс казаков отправляли без огнестрельного оружия. Тогда в ход шли нагайки: инструмент, предназначенный для подстегивания лошадей, против человека превращался в грозное оружие.
НАГАЙКА;оружие;Нагайка — оружие казака. На разгон беспорядков и усмирение масс казаков отправляли без огнестрельного оружия. Тогда в ход шли нагайки: инструмент, предназначенный для подстегивания лошадей, против человека превращался в грозное оружие.
НАГРУДНИК;передник;Нагрудник - небольшой передник, щиток, носимый на груди для предохранения от чего-н., для украшения.
НАГРУДНИК;щит;Нагрудник - небольшой передник, щиток, носимый на груди для предохранения от чего-н., для украшения.
НАГРУДНИК;доспехи;Нагрудник (англ. breastplate) — часть латного доспеха, закрывающая тело спереди. Появившаяся в конце XIV века и существовавшая до тех пор, пока доспехами вообще пользовались. Нагрудник и наспинник составляют части кирасы, в некоторых случаях нагрудник использовался отдельно.
НАГРУДНИК;украшение;Нагрудник - небольшой передник, щиток, носимый на груди для предохранения от чего-н., для украшения.
НАГРУДНИК;предохранение;Нагрудник - небольшой передник, щиток, носимый на груди для предохранения от чего-н., для украшения.
